Language,lat_str,lon_str,genus,family,countrycodes,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
Hupa,41.0833333333,-123.666666667,Athapaskan,Na-Dene,US,Critically Endangered ,1,North America,41.0982, -123.68
Hunzib,42.1666666667,46.25,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Endangered ,600,Caucasus;Europe;East Asia,42.1666666667,46.25
Iatmul,-4.25,143.25,Middle Sepik,Sepik,PG,Threatened ,46000,Pacific,-4.30, 143.32
Inga,1.0,-77.0,Quechuan,Quechuan,CO,Threatened ,8000,South America,1.0, -77.0
Ignaciano,-15.166666666700001,-65.4166666667,Bolivia-Parana,Arawakan,BO,Threatened ,1080,South America,-15.1666666667,-65.4166666667
Ik,3.75,34.1666666667,Kuliak,Eastern Sudanic,UG,Vulnerable ,16000,Africa,3.75,34.1666666667
Imonda,-3.33333333333,141.16666666700002,Border,Border,PG,Endangered ,274,Pacific,-3.33, 141.17
Iquito,-3.25,-74.0,Zaparoan,Zaparoan,PE,Critically Endangered ,15,South America,-3.25,-74.0
Irish,53.0,-8.0,Celtic,Indo-European,IE,Endangered ,20000,Europe,52.5,-9.0
I'saka,-2.83333333333,141.283333333,Krisa,Skou,PG,Severely Endangered ,347,Pacific,-2.80, 141.30
Isirawa,-1.8333333333300001,138.5,Kwerba,Kwerba,ID,Threatened ,1800,Southeast Asia,-1.83333333333,138.5
Itelmen,57.0,157.5,Southern Chukotko-Kamchatkan,Chukotko-Kamchatkan,RU,Severely Endangered ,20,Caucasus;Europe;East Asia,57.0,157.5
Itonama,-12.833333333299999,-64.3333333333,Itonama,Itonama,BO,Critically Endangered ,1,South America,-12.8333333333,-64.3333333333
Iwaidja,-11.5,132.66666666700002,Iwaidjan,Iwaidjan,AU,Endangered ,150,Australia,-11.4407565,132.5594586
Ixcatec,17.8333333333,-97.1666666667,Popolocan,Oto-Manguean,MX,Critically Endangered ,9,"Mexico, Central America, Caribbean",17.8333333333,-97.1666666667
Ixil,15.5,-91.0,Mayan,Mayan,GT,Vulnerable ,69137,"Mexico, Central America, Caribbean",15.46, -90.89
Jad,30.8333333333,79.0,Bodic,Sino-Tibetan,IN,Endangered ,2000,South Asia,30.645,78.3627
Jahai,5.75,101.5,Aslian,Austro-Asiatic,MY,Threatened ,,Southeast Asia,5.75,101.5
Jaminjung,-15.083333333299999,130.5,Jaminjungan,Mirndi,AU,Severely Endangered ,100,Australia,-15.02818965,130.3565783
Jaqaru,-13.0,-76.0,Aymaran,Aymaran,PE,Endangered ,725,South America,-13.0,-76.0
Jabutí,-12.25,-62.25,Jabutí,Jabutí,BR,Severely Endangered ,50,South America,-12.25,-62.25
Jemez,35.8333333333,-107.0,Kiowa-Tanoan,Kiowa-Tanoan,US,Threatened ,3000,North America,35.6151,-106.7242
Jibbali,17.5,55.0,Semitic,Afro-Asiatic,OM,Threatened ,5000,Near East,,
Juruna,-5.0,-54.5,Tupi-Guaraní,Tupian,BR,Endangered ,300,South America,-5.0,-54.5
Ju|'hoan,-19.0,21.0,Ju-Kung,Kxa,NA AO BW,Vulnerable ,11000,Africa,-19.591168, 20.502033
Júma,-7.5,-64.0,Tupi-Guaraní,Tupian,BR,Critically Endangered ,5,South America,-7.5,-64.0
Juang,21.3333333333,86.0,Munda,Austro-Asiatic,IN,Vulnerable ,30875,South Asia,21.3333333333,86.0
Karajá,-10.0,-50.3333333333,Karajá,Macro-Ge,BR,Threatened ,3060,South America,-9.983486,-50.284753
Kachari,26.5,91.0,Bodo-Garo,Sino-Tibetan,IN,Endangered ,59000,South Asia,26.5,91.0
Kaki Ae,-8.0,145.83333333299998,Tate,Eleman,PG,Endangered ,510,Pacific,-8.0,145.833333333
Kaian,-4.08333333333,144.75,Lower Ramu,Lower Sepik-Ramu,PG,Threatened ,792,Pacific,-4.07, 144.76
Kaure,-3.41666666667,140.08333333299998,Kaure,Kaure,ID,Endangered ,450,Southeast Asia,-3.347215, 139.812557
Kalami,35.5,72.5,Indic,Indo-European,PK,Threatened ,1500,South Asia,35.2893,72.6168
Kaurna,-34.25,138.5,Central Pama-Nyungan,Pama-Nyungan,AU,Awakening ,50,Australia,-34.34966141,138.4800794
Kaiwá,-23.0,-55.0,Tupi-Guaraní,Tupian,PY BR,Vulnerable ,26364,South America,-23.0,-55.0
Kayardild,-17.05,139.5,Tangkic,Tangkic,AU,Critically Endangered ,5,Australia,-17.08808051,139.4873823
Kabatei,36.75,49.4166666667,Iranian,Indo-European,IR,,Noestimateavailable,Near East,37.05,49.76
Kadiwéu,-20.0,-57.0,Kadiwéu,Guaicuruan,BR,Threatened ,1600,South America,-20.0,-57.0
Ket,64.0,87.0,Yeniseian,Yeniseian,RU,Endangered ,500,Caucasus;Europe;East Asia,64.0,87.0
Kalkatungu,-21.0,139.5,Northern Pama-Nyungan,Pama-Nyungan,AU,Dormant ,0,Australia,-20.8213821, 139.0590511
Khaling,27.5,86.6666666667,Mahakiranti,Sino-Tibetan,NP IN CN,Vulnerable ,15000,South Asia,27.5781,86.7163
Khakas,53.0,90.0,Turkic,Altaic,RU,Threatened ,6000,Caucasus;Europe;East Asia,53.0,90.0
Khalaj,35.0,50.0,Turkic,Altaic,IR,Vulnerable ,20000,Near East,34.3751, 50.3063
Khoekhoe,-25.5,18.0,Khoe-Kwadi,Khoe-Kwadi,,Vulnerable ,190000,Africa,-20.313721, 14.968872
Kharia,22.5,84.3333333333,Munda,Austro-Asiatic,IN,Vulnerable ,,South Asia,22.5,84.3333333333
Khowar,36.0,72.0,Indic,Indo-European,PK,At risk ,300000,South Asia,36.0,72.0
Kickapoo,42.25,-84.0,Algonquian,Algic,US,Threatened ,1100,"North America;Mexico, Central America, Caribbean",39.6972,-95.7089
Kire,-4.25,144.75,Mikarew,Lower Sepik-Ramu,PG,Threatened ,1900,Pacific,-4.26, 144.71
Kiowa,37.0,-99.0,Kiowa-Tanoan,Kiowa-Tanoan,US,Critically Endangered ,100,North America,35.1016,-98.6197
Kunjen,-16.5,142.5,Northern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,20,Australia,-16.54391507,143.0454776
Kata Kolok,-8.25,115.166666667,Sign Languages,other,ID,Endangered ,175,Southeast Asia,,
Kirikiri,-3.0,137.16666666700002,Lakes Plain,Lakes Plain,ID,Endangered ,250,Southeast Asia,-3.0,137.166666667
Kokota,-8.0,159.133333333,Oceanic,Austronesian,SB,Threatened ,1200,Pacific,-7.94, 159.168
Korku,22.5,78.5,Munda,Austro-Asiatic,IN,At risk ,200000,South Asia,22.5,78.5
Kalasha,35.0,72.0,Indic,Indo-European,PK,Threatened ,2900,South Asia,35.645250, 71.705167
Kiliwa,31.3333333333,-115.666666667,Yuman,Hokan,MX,Critically Endangered ,8,"Mexico, Central America, Caribbean",31.3333333333,-115.666666667
Kamu,-13.583333333299999,130.83333333299998,Eastern Daly,Eastern Daly,AU,Critically Endangered ,2,Australia,-13.874192,131.143664
Kamasau,-3.91666666667,143.66666666700002,Marienberg,Torricelli,PG,Endangered ,700,Pacific,-3.85, 143.84
Kaingang,-26.0,-52.0,Ge-Kaingang,Macro-Ge,BR,Vulnerable ,18500,South America,-26.0,-52.0
Konni,10.25,-1.5833333333300001,Gur,Niger-Congo,GH,Vulnerable ,3800,Africa,10.25,-1.58333333333
Kinnauri,31.5,78.0,Bodic,Sino-Tibetan,IN,Threatened ,84000,South Asia,31.5,78.0
Konkow,39.5,-121.5,Maiduan,Penutian,US,Critically Endangered ,3,North America,39.467,-121.5155
Koasati,34.8333333333,-85.1666666667,Muskogean,Muskogean,US,Severely Endangered ,200,North America,30.083333,-92.116667
Komo,8.75,33.75,Koman,Koman,SS ET,Threatened ,1435,Africa,8.75,33.75
Komi-Permyak,59.5,54.5,Permic,Uralic,RU,Vulnerable ,110000,Caucasus;Europe;East Asia,59.5,54.5
Kosraean,5.3,163.0,Oceanic,Austronesian,FM,Threatened ,8570,Pacific,5.3,163.0
Kom,6.25,10.3333333333,Bantoid,Niger-Congo,CM,Vulnerable ,15467,South Asia,24.0414,93.6639
Kpan,7.583333333330001,10.1666666667,Platoid,Niger-Congo,NG,Vulnerable ,11400,Africa,7.58333333333,10.1666666667
Kapingamarangi,1.05,154.75,Oceanic,Austronesian,FM,Threatened ,3000,Pacific,1.05,154.75
Krenak,-15.5,-41.0,Botocudo,Macro-Ge,BR,Severely Endangered ,10,South America,-15.5,-41.0
Karanga,-20.0,31.0,Bantoid,Niger-Congo,ZW,Threatened ,10000,Africa,8.3093,15.3588
Krahô,-8.0,-48.0,Ge-Kaingang,Macro-Ge,BR,Threatened ,2184,South America,-8.4071, -47.2851
Karelian,64.0,32.0,Finnic,Uralic,RU,Threatened ,63000,Caucasus;Europe;East Asia,64.0,32.0
Karaim,54.6666666667,24.9166666667,Turkic,Altaic,LT UA,Critically Endangered ,500,Europe,54.6666666667,24.9166666667
Korana,-29.5,20.5,Khoe-Kwadi,Khoe-Kwadi,ZA,Critically Endangered ,1,Africa,-29.5,20.5
Krongo,10.5,30.0,Kadugli,Kadu,SD,Vulnerable ,21700,Africa,10.5,30.0
Kerek,62.25,175.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,RU,Critically Endangered ,10,Caucasus;Europe;East Asia,62.25,175.0
Kairiru,-3.33333333333,143.58333333299998,Oceanic,Austronesian,PG,Threatened ,3507,Pacific,-3.33, 143.55
Karata,42.5833333333,46.3333333333,Avar-Andic-Tsezic,Nakh-Daghestanian,RU,Threatened ,5000,Caucasus;Europe;East Asia,42.5833333333,46.3333333333
Korowai,-5.25,140.0,Awju-Dumut,Trans-New Guinea,ID,Threatened ,3500,Southeast Asia,-5.25,140.0
Koryak,61.0,167.0,Northern Chukotko-Kamchatkan,Chukotko-Kamchatkan,RU,Endangered ,3000,Caucasus;Europe;East Asia,61.0,167.0
Kashaya,38.6666666667,-123.333333333,Pomoan,Hokan,US,Critically Endangered ,Severaldozen,North America,38.6603,-123.3045
Kasong,12.75,102.116666667,Pearic,Austro-Asiatic,TH,Severely Endangered ,40,Southeast Asia,13.228214,99.852433
Kashubian,54.0,18.0,Slavic,Indo-European,PL,Vulnerable ,50000,Europe,54.356076, 17.893982
Katla,11.833333333299999,29.3333333333,Katla-Tima,Kordofanian,SD,Vulnerable ,14200,Africa,11.8333333333,29.3333333333
Kuna,8.0,-77.3333333333,Kuna,Chibchan,PA CO,Vulnerable ,44100,"South America;Mexico, Central America, Caribbean",9.4,-78.316667
Kuot,-3.05,151.5,Kuot,Kuot,PG,Threatened ,2400,Pacific,-3.05,151.5
Kusunda,28.0,84.6666666667,Kusunda,Kusunda,NP,Critically Endangered ,1,South Asia,28.0,84.6666666667
Kuvi,18.75,82.6666666667,South-Central Dravidian,Dravidian,IN,At risk ,246513,South Asia,18.75,82.6666666667
Kwoma,-4.16666666667,142.75,Middle Sepik,Sepik,PG,Threatened ,2925,Pacific,-4.09, 142.66
Kawaiisu,36.0,-117.5,Numic,Uto-Aztecan,US,Critically Endangered ,3,North America,35.0589,-118.4026
Kwomtari,-3.5,141.5,Kwomtari,Kwomtari-Baibai,PG,Threatened ,800,Pacific,-3.51, 141.49
Kwaza,-12.583333333299999,-60.6666666667,Kwaza,Kwaza,BR,Severely Endangered ,25,South America,-12.651,-60.4138
Kuku-Yalanji,-16.0,145.0,Northern Pama-Nyungan,Pama-Nyungan,AU,Endangered ,700,Australia,-16.118117,145.047836
Krymchak,45.0,34.25,Turkic,Altaic,UA,Critically Endangered ,200,Caucasus;Europe,45.0,34.0833333333
Koyukon,65.0,-155.0,Athapaskan,Na-Dene,US,Critically Endangered ,150,North America,64.881667, -157.704444
Karkar-Yuri,-3.75,141.08333333299998,Karkar-Yuri,Karkar-Yuri,PG,Threatened ,1000,Pacific,,
Kayabí,-11.0,-55.5,Tupi-Guaraní,Tupian,BR,Threatened ,1000,South America,-11.0,-55.5
Laal,10.0,17.6666666667,Laal,Laal,TD,Endangered ,500,Africa,10.0,17.6666666667
Labu,-6.75,146.91666666700002,Oceanic,Austronesian,PG,Threatened ,1600,Pacific,-6.75,146.916666667
Ladakhi,34.0,78.0,Bodic,Sino-Tibetan,IN,Threatened ,150000,South Asia;East Asia,34.0,78.0
Lafofa,10.25,31.25,Lafofa,Kordofanian,SD,Endangered ,600,Africa,10.25,31.25
Lagwan,11.5,14.833333333299999,Biu-Mandara,Afro-Asiatic,CM,Vulnerable ,10000,Africa,,
Lavukaleve,-9.083333333330001,159.2,Lavukaleve,Solomons East Papuan,SB,Threatened ,1700,Pacific,-9.079, 159.22
Laz,41.5,41.5,Kartvelian,Kartvelian,GE TR,Vulnerable ,22000,Europe;Caucasus,41.5,41.5
Lachi,22.6666666667,104.833333333,Kadai,Tai-Kadai,VN,Threatened ,5000,Southeast Asia,22.6666666667,104.833333333
Ladin,46.5833333333,11.916666666700001,Romance,Indo-European,IT,Threatened ,20000,Europe,46.5833333333,11.9166666667
Lepcha,27.1666666667,88.5,Lepcha,Sino-Tibetan,NP IN BT,Severely Endangered ,Afewthousand,South Asia,27.1666666667,88.5
Longgu,-9.75,160.66666666700002,Oceanic,Austronesian,SB,Threatened ,1500,Pacific,-9.684, 160.656
Lhomi,27.6666666667,87.4166666667,Bodic,Sino-Tibetan,NP,Vulnerable ,3130,South Asia;East Asia,27.6666666667, 87.4166666667
Limbu,27.1666666667,87.75,Mahakiranti,Sino-Tibetan,IN NP BT,Threatened ,300000,South Asia,27.1666666667,87.75
Lauje,-0.5,120.0,Celebic,Austronesian,ID,Threatened ,38000,Southeast Asia,-0.5,120.0
Lakkia,24.0833333333,110.166666667,Kadai,Tai-Kadai,CN,Threatened ,9000,East Asia,24.0833333333,110.166666667
Limilngan,-12.5,131.91666666700002,Limilngan,Darwin Region,AU,Critically Endangered ,3,Australia,-12.47762877,131.8581747
Lamen,-16.5833333333,168.16666666700002,Oceanic,Austronesian,VU,Endangered ,850,Pacific,-16.583371,168.133733
Ladino,40.0,33.0,Romance,Indo-European,TR IL,At risk ,400000,"Europe;North America;Mexico, Central America, Caribbean;Near East;Africa",40.0,33.0
Lou,-2.38333333333,147.31666666700002,Oceanic,Austronesian,PG,Endangered ,953,Pacific,-3.45, 142.62
Lardil,-16.5,139.33333333299998,Tangkic,Tangkic,AU,Critically Endangered ,5,Australia,-16.53360037,139.4069131
Luiseño,33.3333333333,-117.166666667,California Uto-Aztecan,Uto-Aztecan,US,Awakening ,,North America,33.4622,-117.1269
Luo,-0.5,34.75,Nilotic,Eastern Sudanic,TZ KE,Critically Endangered ,1,Africa,6.085,11.486
Luri,33.5,48.5,Iranian,Indo-European,IR,Critically Endangered ,2,Africa,10.171127, 9.726795
Lushootseed,48.0,-122.0,Central Salish,Salishan,US,Critically Endangered ,5,North America,47.93, -122.14
Makah,48.3333333333,-124.666666667,Southern Wakashan,Wakashan,US,Awakening ,,North America,48.3658,-124.6118
Mam,15.0,-91.8333333333,Mayan,Mayan,GT,Vulnerable ,519664,"Mexico, Central America, Caribbean",14.80, -91.72
Mapudungun,-38.0,-72.0,Araucanian,Araucanian,CL,Threatened ,258413,South America,-40.0791, -71.0156
Maricopa,33.1666666667,-113.166666667,Yuman,Hokan,US,Severely Endangered ,100,North America,33.3772,-112.1676
Maring,-5.5,144.66666666700002,Chimbu,Trans-New Guinea,PG,Vulnerable ,11000,Pacific,-5.5,144.666666667
Maxakalí,-18.0,-40.0,Maxakalí,Macro-Ge,BR,Threatened ,1271,South America,-18.0,-40.0
Mbabaram,-17.1666666667,145.0,Northern Pama-Nyungan,Pama-Nyungan,AU,Dormant ,0,Australia,-17.21059785,144.6573105
Mbugu,-4.33333333333,38.1666666667,Southern Cushitic,Afro-Asiatic,TZ,Threatened ,7000,Africa,-4.704289, 38.378472
Monumbo,-4.25,145.0,Monumbo,Monumbo,PG,Endangered ,450,Pacific,-4.27, 144.95
Manambu,-4.25,142.83333333299998,Middle Sepik,Sepik,PG,Threatened ,2800,Pacific,-4.19, 142.86
Michif,52.0,-100.166666667,Algonquian,Algic,CA,Critically Endangered ,200,North America,52.0,-100.166666667
Macaguán,6.5,-71.3333333333,Guahiban,Guahiban,CO,Endangered ,441,South America,6.5,-71.3333333333
Machiguenga,-12.0,-72.6666666667,Pre-Andine Arawakan,Arawakan,PE,Threatened ,5000,South America,-12.0,-72.6666666667
Macuna,-0.33333333333299997,-70.1666666667,Tucanoan,Tucanoan,CO BR,Threatened ,1041,South America,-0.333333333333,-70.1666666667
Mocoví,-28.0,-60.5,South Guaicuruan,Guaicuruan,AR,Threatened ,2780,South America,-28.0, -60.5
Mudburra,-17.3333333333,132.08333333299998,Western Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,50,Australia,-17.37280975,132.0454005
Mende,7.833333333330001,-11.5,Western Mande,Mande,SL,Threatened ,5057,Pacific,-3.75, 142.75
Matngele,-13.833333333299999,130.41666666700002,Eastern Daly,Eastern Daly,AU,Critically Endangered ,15,Australia,-13.940756,130.611972
Mandan,46.5,-102.5,Core Siouan,Siouan,US,Dormant ,0,North America,47.5165,-102.2461
Mehri,17.0,51.5,Semitic,Afro-Asiatic,YE OM,At risk ,100000,Near East,16.5993,52.8057
Manem,-3.0,140.83333333299998,Border,Border,PG ID,Endangered ,400,Southeast Asia;Pacific,-2.99, 141.02
Mingrelian,42.5,42.0,Kartvelian,Kartvelian,GE,At risk ,344000,Caucasus,42.014440, 43.566671
Mehek,-3.75,142.5,Tama Sepik,Sepik,PG,Threatened ,4027,Pacific,-3.71, 142.50
Mah Meri,2.83333333333,101.5,Aslian,Austro-Asiatic,MY,Threatened ,2896,Southeast Asia,,
Milang,28.5,95.25,Tani,Sino-Tibetan,IN,Vulnerable ,2150,South Asia,28.431389,95.041667
Mikasuki,32.0,-85.0,Muskogean,Muskogean,US,Threatened ,500,North America,26.3202,-80.9877
Maklew,-7.666666666669999,139.41666666700002,Bulaka River,Bulaka River,ID,Endangered ,120,Southeast Asia,-7.7561, 139.5049
Mambai,9.666666666669999,14.0,Adamawa,Niger-Congo,TD,Vulnerable ,15000,Africa,9.66666666667,14.0
Manchu,49.5,127.5,Tungusic,Altaic,CN,Critically Endangered ,20,East Asia,49.5,127.5
Manam,-4.0,145.0,Oceanic,Austronesian,PG,Threatened ,6000,Pacific,-4.07, 145.03
Manx,54.1666666667,-4.5,Celtic,Indo-European,GB,Awakening ,,Europe,54.163387, -4.498093
Margany,-27.0,144.5,Northern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,1,Australia,-27.21067033,144.7191154
Mohawk,43.5,-74.25,Northern Iroquoian,Iroquoian,CA US,Endangered ,3850,North America,42.9116,-74.5587
Mojave,34.6666666667,-114.583333333,Yuman,Hokan,US,Critically Endangered ,100,North America,34.0231,-114.5045
Mokilese,6.666666666669999,159.75,Oceanic,Austronesian,FM,Threatened ,1230,Pacific,6.66666666667,159.75
Mombum,-8.25,138.75,Mombum,Mombum,ID,Endangered ,250,Southeast Asia,-8.25,138.75
Mosetén,-14.75,-67.8333333333,Mosetenan,Mosetenan,BO,Vulnerable ,4800,South America,-15.2629,-66.8518
Movima,-13.833333333299999,-65.6666666667,Movima,Movima,BO,Threatened ,1173,South America,-13.8333333333,-65.6666666667
Mian,-4.75,141.5,Ok,Trans-New Guinea,PG,Threatened ,1750,Pacific,-4.9, 141.6
Mpur,-0.75,133.25,Kebar,West Papuan,ID,Threatened ,7000,Southeast Asia,-0.75, 133.17
Mapoyo,6.0,-67.0,Cariban,Cariban,VR,Critically Endangered ,3,South America,6.0,-67.0
Momuna,-4.83333333333,139.25,Momuna,Trans-New Guinea,ID,Threatened ,2000,Southeast Asia,-4.83333333333,139.25
Marrithiyel,-13.833333333299999,130.0,Bringen,Western Daly,AU,Critically Endangered ,25,Australia,-13.83887457,130.0009396
Mirniny,-31.0,129.0,Western Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,1,Australia,-31.4815611,127.8200044
Murik,-3.83333333333,144.25,Lower Sepik,Lower Sepik-Ramu,PG,Threatened ,1256,Pacific,-3.83333333333, 144.25
Murle,6.5,33.5,Surmic,Eastern Sudanic,SS,Vulnerable ,60200,Africa,6.5,33.5
Moro,11.0,30.1666666667,Heiban,Kordofanian,SD,Vulnerable ,30000,Africa,11.0,30.1666666667
Martuthunira,-20.8333333333,116.5,Western Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,5,Australia,-21.91408273,115.8212481
Muruwari,-28.75,147.0,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,1,Australia,-28.94787072,146.6193904
Munsee,41.5,-74.6666666667,Algonquian,Algic,US,Critically Endangered ,few,North America,40.8969,-76.3769
Mising,28.5,94.8333333333,Tani,Sino-Tibetan,IN,At risk ,551224,South Asia,28.5,94.8333333333
Musom,-6.583333333330001,147.0,Oceanic,Austronesian,PG,Endangered ,219,Pacific,,
Barí,9.0,-73.0,Motilon,Chibchan,VR CO,Vulnerable ,4000,South America,9.0,-73.0
Muinane,-1.0,-72.5,Boran,Huitotoan,CO,Severely Endangered ,78,South America,-1.0,-72.5
Mulao,25.0,108.0,Kam-Tai,Tai-Kadai,CN,Critically Endangered ,onlyafewelderlyspeakers,East Asia,26.519, 106.984
Mursi,5.583333333330001,36.0833333333,Surmic,Eastern Sudanic,ET,Threatened ,3278,Africa,5.58333333333,36.0833333333
Mundurukú,-7.0,-58.0,Munduruku,Tupian,BR,Threatened ,8000,South America,-7.0,-58.0
Martu Wangka,-21.5,126.0,Western Pama-Nyungan,Pama-Nyungan,AU,Endangered ,800,Australia,-29.854456,122.324919
Mangarrayi,-14.666666666700001,133.5,Mangarrayi,Mangarrayi-Maran,AU,Critically Endangered ,50,Australia,-14.34354907,133.3128743
Mayo,26.0,-108.0,Cahita,Uto-Aztecan,MX,Vulnerable ,32702,"Mexico, Central America, Caribbean",26.45, -108.98
Matsés,-5.416666666669999,-73.25,Panoan,Panoan,PE BR,Threatened ,2200,South America,-5.283333,-73.15
Mayi-Yapi,-20.0,141.0,Northern Pama-Nyungan,Pama-Nyungan,AU,Dormant ,NoknownL1speakers,Australia,-19.194796, 140.468383
Nadëb,-1.0,-66.5,Nadahup,Nadahup,BR,Endangered ,370,South America,-1.0,-66.5
Nanai,49.5,137.0,Tungusic,Altaic,RU,Severely Endangered ,180,Caucasus;Europe;East Asia,47.935, 132.847
Namia,-3.83333333333,141.75,Yellow River,Sepik,PG,Vulnerable ,3500,Pacific,-3.863, 141.801
Natchez,31.75,-91.3333333333,Natchez,Natchez,US,Awakening ,,North America,,
Nauruan,-0.5,166.91666666700002,Oceanic,Austronesian,NR,Threatened ,6000,Pacific,-0.5,166.916666667
Navajo,36.1666666667,-108.0,Athapaskan,Na-Dene,US,At risk ,120000,North America,35.8044,-108.475
Ngombe,3.0,23.0,Bantoid,Niger-Congo,CD,Threatened ,1400,Africa,3.9492,15.2352
Ndut,14.916666666700001,-16.9166666667,Northern Atlantic,Niger-Congo,SN,Vulnerable ,25000,Africa,14.912690, -16.993375
Negidal,53.0,139.0,Tungusic,Altaic,RU,Severely Endangered ,150,Caucasus;Europe;East Asia,53.0,139.0
Nez Perce,46.0,-116.0,Sahaptian,Penutian,US,Critically Endangered ,50,North America,46.4347,-116.8268
Nganasan,71.0,93.0,Samoyedic,Uralic,RU,Severely Endangered ,500,Caucasus;Europe;East Asia,71.0,93.0
Ngan'gityemerri,-14.25,130.41666666700002,Ngankikurungkurr,Southern Daly,AU,Endangered ,150,Australia,-14.268," 131.237
"
Ngiyambaa,-31.75,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,,Australia,-31.27664417,146.0548388
Ngandi,-13.833333333299999,135.0,Ngandi,Gunwinyguan,AU,Critically Endangered ,9,Australia,-14.08540036,135.3815377
Ngawun,-19.0,141.5,Northern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,1,Australia,-20.00086144,141.7753193
Ngarinyman,-16.5,130.5,Western Pama-Nyungan,Pama-Nyungan,AU,Endangered ,170,Australia,-16.97501636,131.9362017
Ngizim,12.083333333299999,10.916666666700001,West Chadic,Afro-Asiatic,NG,Vulnerable ,80000,Africa,11.710652, 11.082443
Ningil,-3.5,142.25,Wapei-Palei,Torricelli,PG,Endangered ,500,Pacific,-3.54, 142.27
Nukuoro,3.83333333333,154.91666666700002,Oceanic,Austronesian,FM,Endangered ,900,Pacific,3.83333333333,154.916666667
Ngarla,-20.0,119.0,Western Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,Veryfew,Australia,-20.37356029,118.8259443
Ngarluma,-20.8333333333,117.5,Western Pama-Nyungan,Pama-Nyungan,AU,Severely Endangered ,20,Australia,-20.848545,117.696075
Nyamal,-21.0,119.0,Western Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,10,Australia,-21.30071734, 119.7091996
Manange,28.5833333333,84.0,Bodic,Sino-Tibetan,NP,Threatened ,3000,South Asia,28.665, 84.023
Noghay,44.0,46.0,Turkic,Altaic,RU,Threatened ,70000,Caucasus;Europe;East Asia,46.3333333333,48.5
Nomatsiguenga,-11.666666666700001,-74.5,Pre-Andine Arawakan,Arawakan,PE,Threatened ,5531,South America,-11.6666666667,-74.5
Noon,14.833333333299999,-16.8333333333,Northern Atlantic,Niger-Congo,SN,Vulnerable ,25000,Africa,14.80, -16.933
Napu,-1.33333333333,120.416666667,Celebic,Austronesian,ID,Threatened ,6000,Southeast Asia,-1.33333333333,120.416666667
Nisenan,39.0,-121.0,Maiduan,Penutian,US,Dormant ,0,North America,39.0,-121.0
Ngaanyatjarra,-26.0,126.5,Western Pama-Nyungan,Pama-Nyungan,AU,Threatened ,1300,Australia,-25.983872, 127.007311
Nubi,0.666666666667,32.0833333333,Creoles and Pidgins,other,UG,Threatened ,25000,Africa,0.666666666667,32.0833333333
Nukak,2.5,-71.5,Cacua-Nukak,Cacua-Nukak,CO,Endangered ,390,South America,2.5,-71.5
Nyawaygi,-19.0,146.16666666700002,Northern Pama-Nyungan,Pama-Nyungan,AU,Critically Endangered ,3,Australia,-18.82290222, 146.1701373
Nyulnyul,-17.0,122.833333333,Nyulnyulan,Nyulnyulan,AU,Critically Endangered ,1,Australia,-16.87658868, 122.8231991
Obokuitai,-3.0,138.0,Lakes Plain,Lakes Plain,ID,Endangered ,120,Southeast Asia,-3.0,138.0
Ocaina,-2.75,-71.75,Huitoto,Huitotoan,PE,Critically Endangered ,50,South America,-2.75,-71.75
Oksapmin,-5.16666666667,142.16666666700002,Oksapmin,Oksapmin,PG,Vulnerable ,8000,Pacific,-5.21, 142.18
Olo,-3.41666666667,142.0,Wapei-Palei,Torricelli,PG,Vulnerable ,13000,Pacific,-3.4, 142.1
Omagua,-4.0,-73.5,Tupi-Guaraní,Tupian,PE,Critically Endangered ,10,South America,-4.0,-73.5
Oneida,43.0,-75.6666666667,Northern Iroquoian,Iroquoian,US,Endangered ,212,North America,43.0778,-75.6622
One,-3.25,141.91666666700002,West Wapei,Torricelli,PG,Threatened ,4450,Pacific,-3.3, 141.9
Onondaga,42.75,-76.1666666667,Northern Iroquoian,Iroquoian,US,Critically Endangered ,52,North America,43.1194,-80.1174
O'odham,32.0,-112.0,Tepiman,Uto-Aztecan,MX US,Vulnerable ,15000,"North America;Mexico, Central America, Caribbean",33.059,-112.0479
Oroch,50.3333333333,137.5,Tungusic,Altaic,RU,Severely Endangered ,150,Caucasus;Europe;East Asia,50.3333333333,137.5
Ordos,39.0,109.0,Mongolic,Altaic,CN,Vulnerable ,100000,East Asia,39.612, 109.781
Orejón,-2.83333333333,-72.5,Tucanoan,Tucanoan,PE,Critically Endangered ,90,South America,-2.83333333333,-72.5
Orok,49.5,143.5,Tungusic,Altaic,RU,Critically Endangered ,60,Caucasus;Europe;East Asia,52.341, 143.091
