Language,Code Value,lat_str,lon_str,genus,family,countrycodes
Columbia-Wenatchi,col,47.5,-120,Interior Salish,Salishan,US
Chatino (Yaitepec),ctp,16.25,-97.25,Zapotecan,Oto-Manguean,MX
Cayuga,cay,42.75,-76.75,Northern Iroquoian,Iroquoian,US
Cheyenne,chy,47,-95,Algonquian,Algic,US
Cayuvava,cyb,-13.5,-65.5,Cayuvava,Cayuvava,BO
Czech,ces,50,15,Slavic,Indo-European,CZ
Da'a,kzf,-1,119.5833333,Celebic,Austronesian,ID
Daba,dbq,10.16666667,13.75,Biu-Mandara,Afro-Asiatic,CM
Dadibi,mps,-6.55,144.5833333,Teberan,Teberan-Pawaian,PG
Daga,dgz,-10,149.3333333,Dagan,Dagan,PG
Dahalo,dal,-2.333333333,40.5,Dahalo,Afro-Asiatic,KE
Dakota,dak,45,-93.5,Core Siouan,Siouan,US
Damana,mbp,11,-73.5,Arhuacic,Chibchan,CO
Dan,dnj,7.5,-8,Eastern Mande,Mande,LR GN CI
Darai,dry,24,84,Indic,Indo-European,NP
Datooga,tcc,-4.333333333,35.33333333,Nilotic,Eastern Sudanic,TZ
Dâw,kwa,-0.25,-67.08333333,Nadahup,Nadahup,BR
Day,dai,8.75,17.83333333,Adamawa,Niger-Congo,TD
Dabida,dav,-4,38.66666667,Bantoid,Niger-Congo,KE
Dutch (Brabantic),nld,50.75,4.5,Germanic,Indo-European,BE
Dan (Blowo),daf,7.333333333,-8.166666667,Eastern Mande,Mande,CI
Dumagat (Casiguran),dgc,16.33333333,122,Northern Luzon,Austronesian,PH
Dhuwal (Dätiwuy),duj,-12.16666667,136.25,Western Pama-Nyungan,Pama-Nyungan,AU
Daju (Dar Fur),daj,12.25,25.25,Daju,Eastern Sudanic,SD
Dadjriwalé,god,5.25,-5.666666667,Kru,Niger-Congo,CI
Donno So,dds,14.33333333,-3.583333333,Dogon,Dogon,BF ML
Defaka,afn,4.583333333,7.5,Ijoid,Ijoid,NG
Degema,deg,4.75,6.75,Edoid,Niger-Congo,NG
Dení,dny,-6,-67,Arauan,Arauan,BR
Dla (Proper),kbv,-3.583333333,141,Senagi,Senagi,PG ID
Desano,des,0.833333333,-69.83333333,Tucanoan,Tucanoan,BR CO
Deti,shg,-20.5,24.5,Khoe-Kwadi,Khoe-Kwadi,BW
Deuri,der,26,90.25,Bodo-Garo,Sino-Tibetan,IN
Dagaare,dga,10.5,-2.666666667,Gur,Niger-Congo,BF GH
Dagbani,dag,9.583333333,-0.5,Gur,Niger-Congo,GH
Deutsche Gebärdensprache,gsg,52,11,Sign Languages,other,DE
Dogri,dgo,33,75,Indic,Indo-European,IN
Dongo,doo,3,30,Ubangi,Niger-Congo,CD
Dagur,dta,48,124,Mongolic,Altaic,CN
Degexit'an,ing,62,-160,Athapaskan,Na-Dene,US
Dhaasanac,dsh,4.666666667,36.33333333,Lowland East Cushitic,Afro-Asiatic,ET
Dharumbal,bjy,-22.75,150.5,Northern Pama-Nyungan,Pama-Nyungan,AU
Dhivehi,div,4.166666667,73.5,Indic,Indo-European,MV
Dhalandji,dhl,-22.08,115,Western Pama-Nyungan,Pama-Nyungan,AU
Dhimal,dhi,26.66666667,87.75,Dhimalic,Sino-Tibetan,NP
Dhargari,dhr,-23.75,114.9166667,Western Pama-Nyungan,Pama-Nyungan,AU
Dhurga,dhu,-35.66666667,150,Southeastern Pama-Nyungan,Pama-Nyungan,AU
Dharawal,tbh,-34.5,150.5,Southeastern Pama-Nyungan,Pama-Nyungan,AU
Didinga,did,4.5,33.5,Surmic,Eastern Sudanic,SS
Diegueño (Mesa Grande),dih,32.66666667,-116.1666667,Yuman,Hokan,MX US
Digaro,mhu,28.41666667,96,Digaroan,Sino-Tibetan,IN
Dime,dim,6.166666667,36.25,South Omotic,Afro-Asiatic,ET
Dinka,dip,8.5,28,Nilotic,Eastern Sudanic,SS
Diola-Fogny,dyo,13,-16.25,Northern Atlantic,Niger-Congo,GM SN
Diyari,dif,-28,139,Central Pama-Nyungan,Pama-Nyungan,AU
Dizi,mdx,6.166666667,36.5,Dizoid,Afro-Asiatic,ET
Djabugay,dyy,-16.75,145.5833333,Northern Pama-Nyungan,Pama-Nyungan,AU
Djingili,jig,-17.75,134,Djingili,Mirndi,AU
Djambarrpuyngu,djr,-12.16666667,135.5,Western Pama-Nyungan,Pama-Nyungan,AU
Djinang,dji,-12.33333333,134.8333333,Western Pama-Nyungan,Pama-Nyungan,AU
Djapu,duj,-12.66666667,136,Western Pama-Nyungan,Pama-Nyungan,AU
Djaru,ddj,-18.75,128,Western Pama-Nyungan,Pama-Nyungan,AU
Dutch (Limburg),nld,51,5.5,Germanic,Indo-European,BE
Dla (Menggwa),kbv,-3.55,141.0333333,Senagi,Senagi,PG
Duma,dma,-0.95,13,Bantoid,Niger-Congo,GA
Dumi,dus,27.25,86.66666667,Mahakiranti,Sino-Tibetan,NP
Dumaki,dmk,36.16666667,74,Indic,Indo-European,PK
Dimasa,dis,25.5,93,Bodo-Garo,Sino-Tibetan,IN
Ding,diz,-4.333333333,19.5,Bantoid,Niger-Congo,CD
Dani (Lower Grand Valley),dni,-4.333333333,138.8333333,Dani,Trans-New Guinea,ID
Dangaléat (Western),daa,12.16666667,18.33333333,East Chadic,Afro-Asiatic,TD
Dobel,kvo,-6.25,134.6666667,Central Malayo-Polynesian,Austronesian,ID
Doko,ngc,3,23.08333333,Bantoid,Niger-Congo,CD
Dolgan,dlg,71.25,98,Turkic,Altaic,RU
Domari,rmt,32,35,Indic,Indo-European,IL JO IR
Dong (Southern),kmc,27,109,Kam-Tai,Tai-Kadai,CN
Doutai,tds,-3.333333333,138.1666667,Lakes Plain,Lakes Plain,ID
Doyayo,dow,8.666666667,13.08333333,Adamawa,Niger-Congo,CM
Drehu,dhv,-21,167.25,Oceanic,Austronesian,NC
Dargwa,dar,42.25,47.41666667,Lak-Dargwa,Nakh-Daghestanian,RU
Dari,prs,35,66,Iranian,Indo-European,AF
Darma,drd,30,79.75,Bodic,Sino-Tibetan,IN
Danish,dan,56,10,Germanic,Indo-European,DK
Toro So,dts,14.41666667,-3.25,Dogon,Dogon,ML BF
Duala,dua,4,9.416666667,Bantoid,Niger-Congo,CM
Dullay (Gollango),gwd,5.5,37.25,Lowland East Cushitic,Afro-Asiatic,ET
Duka,dud,11.16666667,5.083333333,Kainji,Niger-Congo,NG
Dulong,duu,28,98.33333333,Nungish,Sino-Tibetan,CN
Dumo,vam,-2.683333333,141.3,Western Skou,Skou,PG
Duna,duc,-5.5,142.5,Duna,Trans-New Guinea,PG
Dutch,nld,52.5,6,Germanic,Indo-European,NL
Dutch (Zeeuws),zea,51.5,3.75,Germanic,Indo-European,BE NL
Dyirbal,dbl,-17.83333333,145.5833333,Northern Pama-Nyungan,Pama-Nyungan,AU
Dyimini,dyi,8.416666667,-4.416666667,Gur,Niger-Congo,CI
Dyula,dyu,9.833333333,-4.666666667,Western Mande,Mande,ML CI BF
Ebira,igb,8.166666667,7,Nupoid,Niger-Congo,NG
Edolo,etr,-6.166666667,142.6666667,Bosavi,Bosavi,PG
Efik,efi,4.916666667,8.5,Cross River,Niger-Congo,NG
Ega,ega,5.5,-5.5,Kwa,Niger-Congo,CI
Engenni,enn,5.166666667,6.383333333,Edoid,Niger-Congo,NG
Eipo,eip,-4.333333333,140.0833333,Mek,Trans-New Guinea,ID
Ejagham,etu,5.416666667,8.666666667,Bantoid,Niger-Congo,NG CM
Ekari,ekg,-3.833333333,135.5,Wissel Lakes-Kemandoga,Trans-New Guinea,ID
Ekoti,eko,-16.5,39.5,Bantoid,Niger-Congo,MZ
Elseng,mrf,-3,140.5,Morwap,Morwap,ID
Emberá (Northern),emp,6.833333333,-77.16666667,Choco,Choco,CO PA
Embera Chami,cmi,5,-76,Choco,Choco,CO
Émérillon,eme,3.166666667,-52.41666667,Tupi-Guaraní,Tupian,GF
Embaloh,emb,1.166666667,112.3333333,South Sulawesi,Austronesian,ID
Emmi,amy,-13.5,130,Wagaydy,Western Daly,AU
Enga,enq,-5.5,143.6666667,Engan,Trans-New Guinea,PG
Enets,enh,67.5,86.5,Samoyedic,Uralic,RU
English,eng,52,0,Germanic,Indo-European,GB IE
Enggano,eno,-5.416666667,102.25,Enggano,Austronesian,ID
Enya,gey,-0.5,25.25,Bantoid,Niger-Congo,CD
Epena Pedee,sja,3,-77,Choco,Choco,CO
Efate (South),erk,-17.75,168.4166667,Oceanic,Austronesian,VU
Erromangan,erg,-18.83333333,169.1666667,Oceanic,Austronesian,VU
Ese Ejja,ese,-11,-66,Tacanan,Tacanan,PE BO
Esmeraldeño,,0.333333333,-79.83333333,Tacame,Tacame,EC
Esselen,esq,36.25,-121.75,Esselen,Esselen,US
Estonian,est,59,26,Finnic,Uralic,EE
Etsako,ets,7.25,6.5,Edoid,Niger-Congo,NG
Eudeve,opt,29.16666667,-109.6666667,Cahita,Uto-Aztecan,MX
Evenki,evn,56,125,Tungusic,Altaic,RU
Even,eve,68,130,Tungusic,Altaic,RU
Ewe (Anglo),ewe,6,1,Kwa,Niger-Congo,GH
Ewe,ewe,6.333333333,0.416666667,Kwa,Niger-Congo,TG GH
Ewondo,ewo,4,12,Bantoid,Niger-Congo,CM
Eyak,eya,60.5,-145,Eyak,Na-Dene,US
Faroese,fao,62,-7,Germanic,Indo-European,DK
Fasu,faa,-6.583333333,143.3333333,Fasu,Trans-New Guinea,PG
Fula (Burkina Faso),fuh,14,0,Northern Atlantic,Niger-Congo,BF
Frisian (Eastern),frs,53.58333333,7.5,Germanic,Indo-European,DE
Fe'fe',fmp,5.25,10.16666667,Bantoid,Niger-Congo,CM
Fulani (Gombe),fub,10.25,11.25,Northern Atlantic,Niger-Congo,NG
Fula (Guinean),fuf,11.5,-12.5,Northern Atlantic,Niger-Congo,GN
Fijian,fij,-17.83333333,178,Oceanic,Austronesian,FJ
Finnish,fin,62,25,Finnic,Uralic,FI
