Code Value,Language,Endangerment Level,Number of Speakers,Region,Latitude,Longitude
bgm,Baga Mboteni,Threatened ,4900,Africa,10.7415,-14.5513
bsp,Baga Sitemu,Threatened ,4000,Africa,10.5,-14.5
bfz-bag,Baghati,Threatened ,4000,South Asia,31.194, 77.0471
bqg,Bago-Kusuntu,Threatened ,7500,Africa,,
bpi,Bagupi,Endangered ,58,Pacific,-5.0454, 145.5822
kva,Bagvalal,Threatened ,4000,Caucasus;Europe;East Asia,42.5833333333,46.1666666667
yha,Baha Buyang,Severely Endangered ,,East Asia,23.4146,105.7632
bjh,Bahinemo,Vulnerable ,700,Pacific,-4.56, 142.83
bhj,Bahing,Critically Endangered ,,South Asia,27.3126,86.5571
bsu,Bahonsuai,Endangered ,200,Southeast Asia,-2.2186,121.6845
bdj,Bai,Threatened ,2500,Africa,8.0592,25.5102
bbf,Baibai,Endangered ,271,Pacific,-3.463972092, 141.358078
bkx,Baikeno,Vulnerable ,20000,Pacific,-9.33, 124.26
bqh,Baima,Threatened ,10000,East Asia,33.1531,103.8696
bcz,Bainouk-Gunyaamolo,Threatened ,,Africa,12.7421,-16.1141
bcb,Bainouk-Samik,Threatened ,1850,Africa,12.5733,-16.2652
1id,Baïnounk Gubëeher,Threatened ,1100,Africa,12.531272, -16.353248
0tz,Baïnounk Gujaher,Vulnerable ,,Africa,12.579, -16.283
bjm,Bajelani,Vulnerable ,20000,Near East,35.4259,46.2551
bkc,"Baka (East Region, Cameroon)",Vulnerable ,30000,Africa,2.58333333333,13.5833333333
5h1,"Baka (Far North Region, Cameroon)",Severely Endangered ,140,Africa,,
bkq,Bakairí,Endangered ,900,South America,-14.0,-55.0
bki,Baki,Endangered ,150,Pacific,-16.7013,168.145
kme,Bakole,Endangered ,300,Africa,4.5764,8.8439
bbs,Bakpinka,Threatened ,4000,Africa,5.3644,8.2397
bls,Balaesang,Threatened ,3200,Southeast Asia,,
bdn,Baldemu,Critically Endangered ,3,Africa,10.5742,14.5623
bcn,Bali,Threatened ,1000,Africa,7.859380, 10.970208
bgx,Balkan Gagauz Turkish,Threatened ,331000,Europe,41.4633,22.6977
rmn,Balkan Romani,At risk ,611800,Europe;Caucasus;Near East;East Asia,42.6666666667,21.1666666667
bft,Balti,At risk ,270000Pakistan337000Worldwide,South Asia,35.900731,74.409599
rml,Baltic Romani,Vulnerable ,58460,Europe;Caucasus;East Asia,60.0,38.0
bfk,Ban Khor Sign Language,Endangered ,400,Southeast Asia,,
bcw,Bana,Vulnerable ,23000,Africa,10.4166666667,13.5833333333
byz,Banaro,Threatened ,2569,Pacific,-4.57, 144.33
jaa-kit,Banawá,Endangered ,100,South America,,
bqj,Bandial,Threatened ,,Africa,12.5317,-16.1553
bdy,Bandjalang,Severely Endangered ,afew,Australia,-28.617377, 153.004160
bgf,Bangandu,Threatened ,2700,Africa,,
gbm-ban,Bangani,Vulnerable ,12000,South Asia,29.8692, 79.0686
dba,Bangime,Threatened ,1200,Africa,,
mfb,Bangka,Critically Endangered ,50,Southeast Asia,-2.335839,106.038567
bwi,Baniwa,Threatened ,9554,South America,2.66666666667,-66.8333333333
bxw,Bankagooma,Threatened ,6000,Africa,11.4261,-5.6744
dbw,Bankan Tey,Threatened ,1320,Africa,15.1, -2.9
abb,Bankon,Vulnerable ,12000,Africa,4.41666666667,9.58333333333
bap,Bantawa,Threatened ,371056,South Asia,27.0994,87.0048
bao,Bará,Endangered ,130,South America,0.333333333333,-70.25
tat-bar,Baraba Tatar,Critically Endangered ,8000,Caucasus;Europe;East Asia,55.149606, 78.330788
rbp,Barababaraba,Critically Endangered ,5,Australia,,
bva,Barain,Threatened ,4100,Africa,11.06677,17.933586
brd,Baram,Critically Endangered ,53,South Asia,28.041,84.629
brm,Barambu,Vulnerable ,25600,Africa,3.5,27.0
brs,Baras,Endangered ,250,Southeast Asia,-1.8838,119.3774
bsn,Barasano,Threatened ,1924,South America,-0.166666666667,-70.6666666667
boi,Barbareño,Awakening ,,,34.043946, -118.916536
bcj,Bardi,Critically Endangered ,5,Australia,-16.50302678,122.9331577
bae,Baré,Critically Endangered ,2,South America,1.0,-67.0
mot,Barí,Vulnerable ,4000,South America,9.0,-73.0
bxo,Barikanchi,,Asapidginthislanguagehasnonativespeakers,Africa,,
bjb,Barngarla,Awakening ,,Australia,-30.99936857, 136.9137803
bbi,Barombi,Threatened ,,Africa,,
bpt,Barrow Point,Critically Endangered ,1,Australia,-14.46601552,144.4487843
sgh-bar,Bartangi,Vulnerable ,2425,Near East,38.219736,72.11835
bsg,Bashkardi,Threatened ,7030,Near East,28.5169,57.7551
bst,Basketo,Vulnerable ,,Africa,6.566667, 36.266667
bsr,Bassa-Kontagora,Critically Endangered ,10,Africa,10.495914, 5.562996
bsc,Bassari,Vulnerable ,10000,Africa,,
ayt,Bataan Ayta,Endangered ,527,Southeast Asia,,
bya,Batak,Endangered ,,Southeast Asia,,
btx,Batak Karo,,570000,Southeast Asia,3.141907, 98.227524
btq,Batek,Endangered ,,Southeast Asia,4.6695,102.5051
btv,Bateri,Vulnerable ,28251Pakistan29051Worldwide,South Asia,34.9073,72.8675
bhm,Baṭḥari,Severely Endangered ,100,Near East,18.0,56.0
btc,Bati (Cameroon),Endangered ,800,Africa,4.2012,10.7858
bvt,Bati (Indonesia),Threatened ,3500,Southeast Asia,-3.61, 130.81
wdj,Batjamalh,Severely Endangered ,12,Australia,-13.137203,130.284308
bbl,Batsbi,Severely Endangered ,800,Caucasus,42.045117, 45.302274
xby,Batyala,Awakening ,,Australia,-25.44486229,153.1539929
brg,Baure,Critically Endangered ,20,South America,-13.0833333333,-64.1666666667
bgr,Bawm Chin,Vulnerable ,unknown,South Asia;Southeast Asia,22.5,92.25
byg,Baygo,Dormant ,0,Africa,11.7436,24.6423
byl,Bayono,Vulnerable ,,Southeast Asia,-5.22, 139.62
bda,Bayot,Vulnerable ,17150,Africa,12.4218,-16.4149
bsw,Bayso,Threatened ,,Africa,6.25,37.75
scs-bea,Bearlake,Endangered ,580,North America,65.2161, -123.4362
bek,Bebeli,Severely Endangered ,780,Pacific,-5.335340, 150.10173
bed,Bedoanas,Endangered ,180,Southeast Asia,-2.7263,132.5582
bkf,Beeke,Endangered ,1000,Africa,0.9997,28.7951
bnz,Beezen,Threatened ,750,Africa,6.7518,10.0744
beg,Belait,Severely Endangered ,700,Southeast Asia,4.582, 114.233
bxb,Belanda Bor,Threatened ,8000,Africa,6.4954,27.7404
bxq,Bele,Endangered ,120,Africa,10.217625, 10.364777
byw,Belhariya,Severely Endangered ,smallnumberofspeakers,South Asia,26.9666666667,87.3
bey,Beli (Papua New Guinea),Vulnerable ,1453,Pacific,-3.685606003, 142.3839417
blm,Beli (Sudan),Threatened ,6600,Africa,6.4736,29.2675
brw,Bellari,Endangered ,1000,South Asia,11.6952,76.4648
dbt,Ben Tey,Threatened ,3000,Africa,14.9, -3.0
bdp,Bende,Endangered ,27000,Africa,-6.381068, 31.068306
bng,Benga,Severely Endangered ,,Africa,1.16666666667,9.41666666667
bgy,Benggoi,Endangered ,350,Southeast Asia,-3.0748,130.0918
rif-ben,Beni Iznassen,Severely Endangered ,,Africa,34.916700, -2.316700
bie,Bepour,Severely Endangered ,50,Pacific,-4.586,145.4184
bxv,Berakou,Critically Endangered ,2,Africa,12.8492,15.032
brc,Berbice Creole Dutch,Dormant ,0,South America,6.1667,-57.7167
bit,Berinomo,Endangered ,178,Pacific,-4.42, 142.46
bes,Besme,Threatened ,1230,Africa,9.6386,16.018
bep,Besoa,Threatened ,8000,Southeast Asia,-1.7163,120.4211
bfe,Betaf,Endangered ,600,Southeast Asia,-2.12,139.25
byf,Bete,Severely Endangered ,afew,Africa,7.016386,9.766867
eot,Beti,Endangered ,200,Africa,5.2495,-3.3233
xub,Betta Kurumba,Threatened ,2000,South Asia,11.5,76.75
kap,Bezhta,Threatened ,6200,Caucasus;Europe;East Asia,42.1369,46.1508
bhd,Bhadrawahi,Vulnerable ,69000,South Asia,33.8886,76.3
bhd-bha,Bhalesi,,,South Asia,33.3947, 76.1352
bhe,Bhaya,Endangered ,700,South Asia,25.48,69.31
unr-bhu,Bhumij,At risk ,over100000,South Asia,22.552,85.804
bif,Biafada,Vulnerable ,44900,Africa,11.537292, -15.227014
